series_id,series_name,hit,imdb
242130,دروغ های قاتل: تعقیب یک مجرم کلاهبردار واقعی,80,6.1
226201,اهریمن,87,7.7
241868,موسیقی متن فیلم زندگی های گذشته,0,None
240212,شب مبارزه: سرقت میلیون دلاری,86,7.4
241980,قتل آمریکایی: لسی پترسون,88,7
241647,موسیقی متن بازی خدای جنگ,89,None
241914,پاک کن خاطرات بد,86,6.9
239306,واندلا,89,7.5
241925,عشق در خانه,91,7.3
241717,موسیقی متن فیلم آرزو,0,None
241704,موسیقی متن فیلم رایا و آخرین اژدها,0,7.3
241513,موسیقی متن فیلم خرس برادر,0,6.9
236531,آهنگ عاشقانه یک خیال ,86,7.2
241477,موسیقی متن فیلم آخرین بازمانده موهیکان ها,0,7.6
241707,موسیقی متن بازی خدای جنگ: رگناروک,87,None
241164,ربوده شده با هم: چه کسی لیریک و الیزابت را کشت؟,83,6.9
241612,موسیقی متن فیلم ادوارد دست ‌قیچی,0,7.9
241603,هرج و مرج,86,7.5
241440,موسیقی متن فیلم جزیره شاتر,0,None
241507,کودکستان ابرقهرمانی,82,6.2
241774,نابودگر صفر,92,7
217903,گربه های برق آسا,84,7.8
241675,قورباغه,87,7.1
241399,کاوشگران اقیانوس,96,7.7
241582,مطمئنی؟,93,9.5
240933,بایرن مونیخ: نسل ومبلی,82,8.8
232316,چرخ های سوزان: بیا مسابقه بدیم,89,7.9
241216,حسابرس ها,89,7.8
241336,ستمگر,79,6.9
222871,دونا!,81,7.1
239943,روز بازی با وینی پو,84,5.3
241366,یگان هوایی پلیس,72,8.4
241203,پاپ کثیف: کلاهبرداری گروه موسیقی پسران,0,6.6
241173,بدون راه در رو: قمار,75,6.6
240764,ارکستر,0,8
241235,موسیقی متن بازی شاهزاده ایرانی: تاج گمشده,87,None
241051,لالیگا: بی پرده,84,6.8
238832,رویای یک افسانه عجیب,85,6.7
240710,سیاره پویا,0,7.9
240792,داستان های لاک پشت های نینجا,84,6.8
236123,غربت,86,None
238896,پستانداران,87,8.5
